,geo,text,user,location,Subject,state
663,, Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption…,ChristopherOrp1,"Queens, NY",Donald Trump,New York
667,," Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…",PMIA7,"Oak Brook, IL",Donald Trump,Illinois
691,, “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…,Freedom77027217,"Fairfax, VA",Donald Trump,Virginia
694,," CIVIL FRAUD INDICTMENTS LIKELYWith SCOTUS opening the complete tax record to SDNY, an immediate charge is predicted. #…",NadelleWilson,"California, USA",Donald Trump,California
695,, Mainstream media and their friends in Silicon Valley have covered up and actively suppressed the Hunter Biden corruption…,NomadCovfefe,"North Carolina, USA",Donald Trump,North Carolina
696,, NEW VIDEO! #PleaseSaveTheseChildren  If you don't have a bright line for crimes against children you don't have a line.…,LOYALFAN1,"Connecticut, USA",Donald Trump,Connecticut
705,," ""It's like a gangster culture,"" Robert De Niro says of Donald Trump's presidency. ""He has no concept about what the right thing…",margaretjg24,"Morristown, TN",Donald Trump,Tennessee
709,, Pissed off young people have the power to defeat Donald Trump. Fucking vote.  ,mediccaptfm,"Florida, USA",Donald Trump,Florida
711,," Biden couldn’t fill a high school gym, but Donald Trump (👇🏼) is behind in the polls? ",Patrick19372738,"East Jacksonville, FL",Donald Trump,Florida
726,, Fox News cut away from Donald Trump's campaign rally in Florida and aired Joe Biden's campaign rally speech in full.,IamLucyRicardo,"New York, USA",Donald Trump,New York
732,, Donald Trump 2020 the best President ever.,Jesseba67848426,"Houston, TX",Donald Trump,Texas
733,, Pollak: 11 Shining Successes of President Donald Trump‘s First Term  via ,Cuds_1246,"Philadelphia, PA",Donald Trump,Pennsylvania
745,," It is Friday, October 30, 2020. One citizen, I call for the removal from office by any legal means, the impeached fascist…",ASatMV,"California, USA",Donald Trump,California
750,," Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…",Lauryn2000,"Bronx, NY",Donald Trump,New York
